project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
BEFORE YOU,TABS2026024464,PREMIER OAKS AT TWIN CREEKS,"960 W EXCHANGE PKWY #STE. 300, Allen, TX 75013",Collin,8/4/2026,12/1/2026,"$130,000",New Construction,"This project is privately funded, on private land for private use.",REMODEL ,960 ft 2,VILLAGE AT TWIN CREEKS MASTER COMMUNITY INC,"1024 S GREENVILLE AVE #STE. 230, ALLEN, Texas 75002",(657) 500-9126,AARON HUYNH,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 75063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024464
U Med Spa,TABS2026024375,113 Whistlestop Way,"113 Whistlestop Way Unit 005, Fairview, TX 75069",Collin,8/15/2026,12/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel (1,805 sq ft)","1,805 ft 2","IVT Shoppes at Fairview, LLC","3025 Highland Parkway, Downers Grove, Illinois 60515",(630) 570-0737,Angela Cui,Coeval Studio,"2005 Farrington Street, Dallas, Texas 75207",214-931-4097,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024375
TBX Selerix,TABS2026024358,One Legacy Circle,"7500 Dallas Parkway Suite 800, Plano, TX 75024",Collin,7/2/2026,9/15/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"24,142 ft 2","Land Legacy, LP & Manas Legacy, LP","12222 Merit Drive Suite 280, Dallas, Texas 75251",(972) 770-4400,,ENTOS Design,"5400 Lyndon B. Johnson Fwy Suite No: 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024358
ITKAN Academy Restrooms,TABS2026024338,ITKAN Academy Restrooms,"1701 10TH ST, SUITE 100 PLANO, TEXAS 75074, Plano, TX 75074",Collin,7/6/2026,12/28/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",add new restrooms,"12,282 ft 2",10TH STREET EPA LLC,"8113 RIDGEPOINT DR, STE 200, IRVING, Texas 75063",(469) 407-2240,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024338
Luxe Locker of McKinney,TABS2026024318,Luxe Locker,"3771 Virginia Pkwy., Mckinney, TX 75070",Collin,7/28/2026,7/1/2027,"$4,100,000",New Construction,"This project is privately funded, on private land for private use.","Construction of 73 new, private garages, 2 trash enclosures, and a small restroom and IT/mechanical buidling - Total: 87,207 SQ. FT.","87,207 ft 2",Luxe Garages of McKinney LLC,"349 Lake Havasu Ave. Suite 104, Lake Havasu, Arizona 86403",(928) 412-1401,,James Goodman Architecture + Arclogica Architects,"1551 N Tustin Ave. #190, Santa Ana, California 92705",949-409-1259,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024318
Hot Topic #860 Allen Premium Outlets,TABS2026024311,Hot Topic,"820 W Stacy Rd, Suite 610, Allen, TX 75013",Collin,9/1/2026,12/1/2026,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New Hot Topic Tenant Build Out,"2,916 ft 2",Miss A Stores Inc.,"10155 Technology Blvd E, Dallas, Texas 75220",(407) 645-5008,,Interplan LLC,"220 E Central Pkwy, Altamonte Springs, Florida 32701",(407) 645-5008,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024311
Signature Salon,TABS2026024262,SHOPS AT WILMETH LLC,"2955 N. Hardin Blvd Suite 700, Mckinney, TX 75071",Collin,7/21/2026,10/31/2026,"$120,000",New Construction,"This project is privately funded, on private land for private use.","1,215 square foot hair salon interior tenant finishout.","1,215 ft 2",Shops at Wilmeth LLC,"3773 Richmond Ste 800 ,, Houston, Texas 77046",713-623-6944,Devi Sunila Geesala,East Star Design LLC,"PO Box 53, Forney, Texas 75126",972-200-7340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024262
"Walmart 6300-1011 Prosper, TX",TABS2026024212,"Walmart 6300 Prosper, TX","500 Richland Blvd., Prosper, TX 75078",Collin,1/3/2027,4/22/2027,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project consists of a comprehensive interior and exterior remodel, including reconfiguration of sales floor areas, customer service, checkout, grocery, pharmacy, vision center, photo lab, auto center, breakroom, restrooms, online pickup, and sup ","34,995 ft 2",Walmart Real Estate Business Trust,"PO BOX 8050 Suite 200, Bentonville, Arkansas 72712",1-800-876-5309,,Cyntergy,"810 S Cincinnati Ave Suite 200, Tulsa, Oklahoma 74119",(918) 877-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024212
Steam and Chilled Water Distribution,TABS2026024207,Naturich Labs Inc.,"3200 Research Dr., Richardson, TX 75082",Collin,7/22/2026,11/1/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Steam and chiller water pumps and distribution piping,"5,000 ft 2",3200 Holdings LLC,"2505 Merritt Dr., Garland, Texas 75041",(469) 494-3783,,B&H Engineering,"511 E John, 511 E John W Carpenter Fwy Ste. 250, Irving, Texas 75062",(214) 469-1670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024207
Ryan Dental,TABS2026024194,Ryan Dental,"145 Shiloh unit B, Plano, TX 75074",Collin,7/30/2026,10/30/2026,"$269,682",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of retail space to be converted into a dental office ,"1,670 ft 2",Suzy Stone,"18484 Preston Rd., Dallas, Texas 75252",(972) 898-7047,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024194
ALEAF INSURANCE,TABS2026024148,ALEAF INSURANCE,"7700 PRESTON RD. #1002, Frisco, TX 75003",Collin,8/3/2026,11/2/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH-OUT,"3,192 ft 2",FEASJO INVESTMENTS INC,"7700 PRESTON ROAD #1002, FRISCO, Texas 75034",(972) 996-2917,,WARD ARCHITECTURE PLLC,"5004 Thompson Terrace, Colleyville, Texas 76034",817-281-5600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024148
IMAGINE AT COLEMAN,TABS2026024114,IMAGINE AT COLEMAN,"320 NORTH COLEMAN STREET, Prosper, TX 75078",Collin,8/1/2026,2/1/2027,"$695,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION FOR A MIXED USE 1ST FLOOR COMMERCIAL AND 2ND FLOOR MULTIFAMILY  RESIDENTIAL BUILDING,"10,282 ft 2",O E 6TH LLC,"130 N PRESTON RD # 100-414, PROSPER, Texas 75078",(312) 810-8111,,"R.T. CHANG ARCHITECTS, INC.","5834 WINDMIER LANE, DALLAS, Texas 75252",(214) 663-4735,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024114
