project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
SGF CAPITAL,TABS2025020753,8111 DOUGLAS,"8111 DOUGLAS AVENUE Suite 1200, Dallas, TX 75225",Dallas,7/1/2025,12/1/2025,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish-out of a first generation shell space. Work includes general construction and modifications to existing MEP systems.,"24,282 ft 2",8111 Douglas Ave. LLC,"8111 Douglas Ave Suite 600, Dallas, Texas 75225",(214) 740-3377,KEVIN KEEN,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020753
Stridecare South Dallas,TABS2025020750,South Dallas COE,"3107 Camp Wisdom Rd., Suite 115, Dallas, TX 75237",Dallas,7/15/2025,9/30/2025,"$305,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodeling of existing clinic,"1,525 ft 2","Boniuk Interests, Ltd. c/o Wulfe Management Svcs","1800 Post Oak Blvd, Suite 400, Houston, Texas 77056",(925) 852-4482,,Reid Architects,"3411 Richmond Ave, Suite 111, Houston, Texas 77046",(713) 621-2828,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020750
Baylor Institute of Rehabilitation,TABS2025020742,Valoris Healthpark,"530 Clara Barton Boulevard, Suite 200, Garland, TX 75042",Dallas,6/15/2025,9/30/2025,"$310,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovations ,"4,372 ft 2","PSL Garland MOB, LP","3310 Live Oak Street, Suite 410, Dallas, TX 75204, DALLAS, Texas 75204",214-736-7007,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020742
Trinity Forest Spine Trail - North Phase 2,TABS2025020740,Trinity Forest Spine Trail - North Phase 2,"Intersection of Samuell Boulevard at IH 30 WB, Dallas, TX 75228",Dallas,12/15/2025,4/30/2027,"$21,500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",2.3 miles of 12' wide concrete multi-use public trail including (09) nine bridges and appx. 2100 l.f. of boardwalk.  The project starts at Samuell Boulevard & IH 30 and ends at the northwest corner of Lawnview Avenue at Scyene Road.,"145,728 ft 2",City of Dallas Parks and Recreation,"1500 Marilla St., Room 6Fn, Dallas, Texas 75201",(214) 670-5454,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020740
Lonestar Neurology,TABS2025020732,Valoris Healthpark,"530 Clara Barton Boulevard, Suite 220, Garland, TX 75042",Dallas,6/16/2025,7/31/2025,"$230,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovations,"2,385 ft 2","PSL Garland MOB, LP","3310 Live Oak Street, Suite 410, Dallas, TX 75204, DALLAS, Texas 75204",214-736-7007,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020732
The Village - Administrative Offices,TABS2025020725,The Village - B2,"8372 Southwestern Boulevard Building B2, Suite 110, Dallas, TX 75206",Dallas,6/20/2025,9/30/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant finish out remodel - 4,856 SF","4,856 ft 2",J. Blake Pogue,"5670 Village Glen Drive Suite 210, Dallas, Texas 75206",(214) 880-0350,The Village Dallas - Kristin,Jones Commercial Interiors,"3900 Willow Street Suite 150, Dallas, Texas 75226",(972) 690-3400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020725
"25-0032 Foot Locker - Dallas, TX (Galleria Dallas )",TABS2025020715,Foot Locker,"13350 Dallas Pkwy, Dallas, TX 75240",Dallas,7/28/2025,10/24/2025,"$637,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","8,638 sf tenant improvement for retail shoe store.","8,638 ft 2",GMV (Mall) Owner LLC,"13350 Dallas Parkway 3080, Dallas, Texas 75240",(972) 702-7171,,Rogue Architects,"513 Main St Ste 300, Fort Worth, Texas 76102",817.529.6871,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020715
BLINDFOLDED BBQ,TABS2025020712,WHEATLAND PLAZA,"598 E WHEATHLAND ROAD, Duncanville, TX 75116",Dallas,6/9/2025,8/1/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION FOR NEW RESTAURANT,611 ft 2,OPTIONS REAL ESTATE,"544 E WHEATLAND RD, DUNCANVILLE, Texas 75116",(972) 283-1111,,"Thrasher Works, LLC","351 W Jefferson Blvd Suite 601, Dallas, Texas 75208",(214) 293-3498,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020712
TORTAS LAS TORTUGAS,TABS2025020704,TORTAS LAS TORTUGAS,"9130 PREMIER ROW, Dallas, TX 75247",Dallas,7/1/2025,8/1/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL OF EXISTING STRUCTURE INTO FOOD MFR FACILITY,"7,500 ft 2",SOLKORP LLC,"2942 SOUTH SUNBECK CIR, Farmers Branch, Texas 75234",(817) 739-8537,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020704
Southwest Dallas Eye Care,TABS2025020688,Hampton Village,"412 S. Hampton Rd., Dallas, TX 75208",Dallas,6/30/2025,8/29/2025,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","commercial finish out of optometry office, including exam rooms, lab, offices, reception, waiting area, and fitting area for new glasses","2,089 ft 2","Vaquero S Hampton Partners, LP","2427 Tallar St. Suite 111, Ft. Worth, Texas 76107",(817) 228-5268,Steve Nguyen,Spotted Dog Architecture,"8725 Stanwood Dr., Dallas, Texas 75228",(214) 450-1031,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020688
HNTB Dallas (39-24152-00),TABS2025020683,Ross Tower,"500 N Akard St Suite 3800, Dallas, TX 75201",Dallas,7/15/2025,1/31/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Second Generation remodel/renovation of the  38th floor to include private offices, conference rooms, copy rooms, and open workstation areas","26,175 ft 2",Ross Tower Schpi.LP,"500 North Akard Street Suite 200, Dallas, Texas 75201",(214) 954-3354,Chris Pollard,DLR Group,"2500 Pacific Ave Suite 1600, Dallas, Texas 75226",(214) 747-2511,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020683
Oncor NE Dallas,TABS2025020673,Oncor NE Dallas Service Center,"4350 Greenville Ave, Dallas, TX 75206",Dallas,8/15/2025,7/1/2026,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.","New, one-story, office building with laydown yard and exterior storage canopies; renovation of existing warehouse structure","17,000 ft 2",Oncor Electric Company,"777 Main St., Fort Worth, Texas 76102",(682) 216-1932,,Merriman Anderson Architects,"300 N Field St., Dallas, Texas 75202",(214) 347-7075,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020673
Texas Capital - Level 14 Suite,TABS2025020662,Texas Capital Center,"2000 McKinney Ave, Suite 1400, Dallas, TX 75201",Dallas,4/1/2025,6/10/2025,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovating level 14 to add a suite addition to part of the existing office. ,"23,356 ft 2","Union Investment Real Estate, GmbH","Valentinskamp 70 / EMPORIO, Neustadt, Hamburg 20355",4940349194224,Texas Capital Bank,Corgan,"401 N Houston Street, Dallas, Texas 75202",(214) 977-3590,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020662
NFCU Dallas Training Center,TABS2025020655,Navy Federal Credit Union,"3300 Olympus Blvd, Dallas, TX 75019",Dallas,7/28/2025,11/21/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New non-structural partitions, millwork, finishes, ceiling grid, interior glazing as relates to a banking training center. The project is first generation TI for a suite on the 5th floor of the building. ","13,019 ft 2",Billingsley Company,"1722 Routh St Suite 770, Dallas, Texas 75201",(214) 270-0942,Navy Federal Credit Union c/o Ben Guerrero,"H2 Architects, Inc","726 9th Ave Suite 1, San Diego, California 92101",(619) 395-6008,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020655
IKEA - University Park,TABS2025020641,IKEA,"8030 Park Lane, Dallas, TX 75231",Dallas,10/1/2025,12/31/2025,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior alteration of 2 floors of an existing space for a new IKEA.,"44,000 ft 2",IKEA,"420 Alan Wood Road, Conshohocken, Pennsylvania 19428",(808) 457-2571,,Greenberg Farrow,"92 E Main Street Suite 410, Somerville, New Jersey 08876",917-689-2729,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020641
Taco Bell - Dallas,TABS2025020637,Taco Bell,"5506 E. Mockingbird Lane, Dallas, TX 75026",Dallas,9/29/2025,10/29/2025,"$96,660",Renovation/Alteration,"This project is privately funded, on private land for private use.","TI of an existing Taco Bell to include FOH--new 250 sf beverage station with new equipment, fixtures, finishes, and front counter. Dining area updates and restrooms include new furniture, finishes, ceiling and lighting. ","1,074 ft 2","Taco Bell of America, LLC","1 Glen Bell Way MD 534, Irvine, California 92618",(949) 863-4500,,Valerio Architects,"5858 Wilshire Blvd, Los Angeles, California 90036",(206) 844-0289,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020637
TREAZURE STUDIOS - TRINITY GROVE,TABS2025020622,WESTERLY,"411 W. COMMERCE STREET SUITE-100, Dallas, TX 75208",Dallas,7/15/2025,11/15/2025,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior buildout of salon suites including MEP, partitions, finishes, plumbing fixtures, and ADA restrooms in an existing shell space for beauty and wellness services. No structural work included.","5,939 ft 2","Equity Residential Management, L.L.C.","Two North Riverside Plaza Suite 400, CHICAGO, Illinois 60606",(206) 551-7192,TREAZURE STUDIOS - TRINITY GROVE,BARR ARCHITECTURE,"5011 SOUTH STATE ROAD 7, SUITE 107, DAVIE, Florida 33314",(954) 418-2277,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020622
Lakewood ES Playground Ph 1 & 2,TABS2025020620,Lakewood Elementary School,"3000 Hillbrook Street, Dallas, TX 75214",Dallas,6/16/2025,8/15/2025,"$475,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Site work associated with new play areas and pedestrian amenities (approximately 39,000 square feet)","39,000 ft 2",Dallas Independent School District,"3000 Hillbrook Street, Dallas, Texas 75214",972-749-7300,,Garthoff Design LLC,"5646 Milton Street, Suite 606, Dallas, Texas 75206",214-750-4727,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020620
Mr.Winston's,TABS2025020549,Pavillion on Lovers Ln,"5600 W. Lovers LN #203, Dallas, TX 75230",Dallas,6/30/2025,8/25/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.","Interior finish-out of existing retail lease space. Existing & new electrical, mechanical and plumbing equipment.","1,160 ft 2","Pavillion on Lovers LN, L.P.","7501 Inwood RD, Dallas, Texas 75209",(214) 217-1268,,Hub City Productions,"800 Exposition Ave Apt 1, Dallas, Texas 75226",(214) 821-8242,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020549
Barcel Group,TABS2025020544,MacArthur Plaza,"5525 N. MacArthur Blvd, Suite 800, Irving, TX 75038",Dallas,6/6/2025,8/15/2025,"$116,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"5,844 ft 2","Brookwood Real Estate Management, LLC","5605 N MacArthur Blvd., Suite 150, Irving, Texas 75038",(972) 503-2400,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020544
Tom Thumb Site Accessibility - Grand Prairie,TABS2025020537,Tom Thumb #1786,"4215 S. Carrier Pwky, Grand Prairie, TX 75052",Dallas,8/11/2025,8/29/2025,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Barrier removal in the Tom Thumb parking lot to bring existing non-compliant conditions into conformance with ADAS 2010 and 2012 TAS.  Affects approx. 2,500 sf.","2,500 ft 2",Albertsons LLC,"PO Box 800729, Dallas, Texas 75380",(817) 966-3997,,GBD Architects Incorporated,"1120 NW Couch St Suite 300, Portland, Oregon 97209",(503) 224-9656,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020537
Cedar Hill - Building 3 - Truck Express,TABS2025020536,Cedar Hill - Building 3,"1400 S J Elmer Weaver FWY, Suite #300, Cedar Hill, TX 75104",Dallas,6/10/2025,8/26/2025,"$823,000",New Construction,"This project is privately funded, on private land for private use.","A 43,215 SF finish out consisting of a new 3,240 SF office space and 39,975 of warehouse space within in an existing 237,689 SF building. ","3,240 ft 2",LIT SRP Lebanon Cedar Hill,"2001 Ross Avenue, Ste 400, Dallas, Texas 75201",(817) 360-3756,,GSR Andrade Architects,"2001 North Lamar Street, Suite #400, Dallas, Texas 75202",(214) 824-7040,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020536
Remote South Parking Lot Improvements,TABS2025020535,Parking Lot,"2400 S Airfield Dr, Dallas, TX 75261",Dallas,12/28/2025,9/1/2026,"$16,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Expansion of Remote South Parking Lot. Addition of approx 1,500 parking spaces (530,000 SF pavement), convert 35 spaces to ADA parking spaces, addition of a new bus stop location to serve the expanded area.","530,000 ft 2",Dallas Fort Worth International Airport,"3003 S. Service Rd, DFW Airport, Texas 75261",(214) 212-7230,,RS&H,"4835 LBJ Freeway, Suite 700, Dallas, Texas 75244",469-857-7744,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020535
Steelecreek Management,TABS2025020529,Douglas,"8235 Douglas Avenue Suite 900, Dallas, TX 75225",Dallas,6/30/2025,9/30/2025,"$189,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"2,062 ft 2",Jim Barron,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(214) 679-3119,Steelecreek Management,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020529
Cawley Grassmere Lane,TABS2025020527,Cawley Grassmere Lane,"5801 Grassmere Lane, Dallas, TX 75205",Dallas,9/1/2025,2/26/2027,"$20,000,000",New Construction,"This project is privately funded, on private land for private use.",3 Story Wood Frame Multifamily project with subgrade parking deck.,"56,257 ft 2","CP Grassmere, LP","16400 N. Dallas Parkway Suite 150, Dallas, Texas 75248",(214) 926-0929,,Dwell Design Studio,"5801 Tennyson Pkwy, Suite 350, Plano, Texas 75024",(214) 497-0641,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020527
GS Dallas Temp Space - Harwood Hilltop Securities Lvls 25-26,TABS2025020525,717 Harwood,"717 Harwood, Suite 2500, Dallas, TX 75201",Dallas,6/23/2025,2/28/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation to existing suite for sublease,"49,875 ft 2","SKW-B Harwood Owner, LLC","134 West 25th Street, 5th Floor, New York, New York 10001",(212) 929-0510,,Corgan,"401 North Houston Street, Dallas, Texas 75202",(214) 757-1670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020525
