project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
HOWDY HOMEMADE ICE CREAM,TABS2026018012,BATES TOWNE CROSSING,"26564 E UNIVERSITY DR #STE. 200, Aubrey, TX 76227",Denton,8/1/2026,12/31/2026,"$200,000",New Construction,"This project is privately funded, on private land for private use.",TENANT FINISH OUT ,"1,400 ft 2",BATES TOWNE CROSSING LLC,"16000 DALLAS PKWY #STE. 300, DALLAS, Texas 75248",(972) 739-8488,DEBRA CANDY,WRIGHT GROUP ARCHITECTS PLLC,"1430 SOUTH BROADWAY ST, CARROLLTON, Texas 75006",(972) 242-1015,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018012
Perkins,TABS2026017960,TRINITY VALLEY,"2626 N Josey Ln Suite 108 & 112, Carrollton, TX 75007",Denton,7/1/2026,10/30/2026,"$950,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","3,850 square feet kitchen, plumbing, hvac, framing, electric","3,850 ft 2","Josey Trinity Mills, Ltd.","3102 MAPLE AVE SUITE 5, Dallas, Texas 75201",(214) 954-0600,Narendrakumr Patel,Rashmi C Inc,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",(817) 891-7918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017960
DDF5 - EXISTING DELIVERY STATION,TABS2026017903,DDF5 - Delivery Station,"15501 N Beach Street, Roanoke, TX 76262",Denton,5/11/2026,11/11/2026,"$118,310",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of two material handling equipment tipper chutes to an existing conveyance system.,395 ft 2,"RLIF N BEACH SPE, LLC","201 West Street, Annapolis, Maryland 21401",443-321-2664,Estela Teixeria,"Progressive Architecture Engineering & Planning, LLC","1811 4 Mile Road NE, Grand Rapids, Michigan 49525",616-361-2714,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017903
Prestonwood Baptist Church Saunders Plaza Renovation,TABS2026017866,Prestonwood Baptist Church,"6801 West Park Boulevard, Plano, TX 75093",Denton,4/15/2026,8/15/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Repaving of the Saunders Entry  - 4,000 square feet","4,000 ft 2",Prestonwood Ministry Group Inc.,"6801 West Park Boulevard, Plano, Texas 75093",972-820-5100,,Kendall + Landscape Architecture,"6976 Santa Barbara, Dallas, Texas 75214",214-536-9719,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017866
The Hills of Northlake West,TABS2026017850,The Hills of Northlake West,"FM 407, Northlake, TX 76247",Denton,5/25/2026,11/20/2026,"$950,000",New Construction,"This project is privately funded, on private land for private use.","The construction of a ~4,950 sf shell space building.","4,950 ft 2",Chaumont Properties LLC,"950 FM Hwy 156, Justin, Texas 76247",(940) 648-1383,,Perez Architecture Studio,"PO Box 223, Crandall, Texas 75114",(214) 226-2095,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017850
City of Lewisville Grand Theater Renovation,TABS2026017825,Lewisville Grand Theater Storage Building,"100 N. Charles Street, Lewisville, TX 75057",Denton,6/1/2026,10/31/2026,"$500,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","The project is a free-standing; non-sprinkled storage building located in the current western lot. It is 1374.66 SQFT, fully conditioned with the necessary infrastructure to accommodate an electric hoist.","1,374 ft 2",City of Lewisville,"151 W. Church Street, Lewisville, Texas 75057",(972) 219-3769,,"Brandsteter Carroll, Inc.","17304 Preston Road, Suite 1020, Dallas, Texas 75252",(210) 386-5113,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017825
SafeSplash,TABS2026017817,Proposed Swim School,"3720 FM 1385, Aubrey, TX 76227",Denton,5/1/2026,10/1/2026,"$850,000",New Construction,"This project is privately funded, on private land for private use.","5,000 sq/ft tenant improvement of new swimming pool facility within an existing building","5,000 ft 2",1385 Mustang Park LP,"4040 N Collins Street Unit 146, Box 144, Arlington, Texas 76005",(214) 793-2162,,Manuel Terraza Architect,"498 W. Prospect Road, Oakland Park, Florida 33309",(954) 566-5051,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017817
Argyle ISD Ballfield & Concession Facilities Renovations,TABS2026017813,Argyle ISD Ballfield & Concessions,"191 Us- 377 N, Argyle, TX 76226",Denton,5/15/2026,9/15/2026,"$1,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Reno. includes a full interior remodel of the concessions building into modern restrooms and a concession facility, softball dugout expansions, and various site improvements across both ball fields.","1,340 ft 2",Argyle ISD,"6701 Canyon Falls Dr, Roanoke, Texas 67282",(817) 819-2249,,"Corgan Associates, Inc.","401 N Houston St, Dallas, Texas 75202",(214) 757-1626,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017813
26018 - ACN 6,TABS2026017749,26018 - ACN 6,"ALLIANCE CENTER NORTH BLK 3 LOT 2, Fort Worth, TX 76177",Denton,4/20/2026,4/1/2027,"$47,000,000",New Construction,"This project is privately funded, on private land for private use.","The New Shell Building consisting of 1,009,280 sf of warehouse space located within Alliance Texas development in North Fort Worth.","1,009,280 ft 2",ALLIANCE CENTER NORTH NO. 6 LTD,"9800 Hillwood Parkway Suite 300, Fort Worth, Texas 76177",(817) 224-6082,,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017749
Northlake Public Works,TABS2026017745,Northlake Public Works,"1400 FM 407 Northlake, TX 76247 1500 Commons Circle, Suite 300 Northlake, TX 76226, Northlake, TX 76247",Denton,6/1/2026,9/1/2027,"$13,667,974",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Two buildings: a one-story administrative building (9,127 SF) and an adjacent shop building (6,943 SF), both sprinklered with site improvements.","16,070 ft 2",TOWN OF NORTHLAKE,"1500 COMMONS CIR STE 300 NORTHLAKE TX US 76226, NORTHLAKE, Texas 76226",(940) 242-5704,,GSBS ARCHITECTS,"901 West Vickery Blvd. Suite 100, Fort Worth, Texas 76104",817.589.1722,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017745
Mailbox Sanger,TABS2026017743,Reed Office Building,"1660 W. Chapman Dr. S. 200, Sanger, TX 76266",Denton,5/25/2026,7/31/2026,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior up-fit with a new toilet and existing parking.,"1,593 ft 2",Dr. John H. Reed,"1670 W. Chapman Dr, Sanger, Texas 76266",(940) 453-6077,,Dallas Proctor Architect,"1602 W Business 380, S. 800, Decatur, Texas 76234",(214) 244-0506,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017743
Hickory Creek Senthound,TABS2026017672,5017 Teasley #115,"5017 Teasley Ln Suite 115, Hickory Creek, TX 76210",Denton,5/4/2026,11/2/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel of existing retail space,"1,208 ft 2",Hickory Creek Station LLC,"11501 Northlake Dr, Cincinnati,, Ohio 45249",(513) 338-2748,,WILLIAM PECK  ASSOC INC,"105 West Main St., LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017672
Retail & Restaurant Development,TABS2026017631,FM 2931 & US 380,"812 Main Street, Providence Village, TX 76227",Denton,6/1/2026,1/1/2027,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.","New 10,800 SqFt Retail/Restaurant Building including site","10,800 ft 2",PV-380 Main Street LLC,"17615 Sunmeadow Drive, Dallas, Texas 75252",(817) 946-3888,,Leung Architects Inc,"1813 Auburn Drive, Richardson, Texas 75081",(469) 878-6871,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017631
Post Oak Park Improvements,TABS2026017610,Post Oak Park,"4751 Flower Mound Road, Flower Mound, TX 75022",Denton,6/1/2026,6/30/2027,"$1,127,313",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New premanufactured restroom building with 2 family stalls, replace existing play equipment & fall surfacing, replace existing gravel trails with concrete trails, grading & drainage improvements to pond inflow & outlet, pedestrian crossing.",116 ft 2,Town of Flower Mound,"2121 Cross Timbers Road, Flower Mound, Texas 75028",(972) 874-6000,,Parkhill,"640 Taylor Street, Suite 1900, Fort Worth, Texas 76102",(682) 399-6562,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017610
Vista Oaks Dentistry,TABS2026017600,Vista Oaks Dentistry,"1540 N. US Hwy. 377 suite (tbd), Roanoke, TX 76262",Denton,5/14/2026,8/17/2026,"$435,957",New Construction,"This project is privately funded, on private land for private use.",The project involves converting newly acquired white shell space into a dental clinic ,"2,857 ft 2","AGTX Roanoke 377 RE Holdings,LLC","600 N. Robinson Ave. suite 1000, Oklahoma City, Oklahoma 73102",(909) 915-4153,MB2 Dental,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017600
"Installation/Improvement of Traffic Signals (CSJ: 0135-10-069, etc.)",TABS2026017574,"CSJ: 0135-10-069, etc.","Various Locations, Denton, TX 76209",Denton,2/1/2027,2/1/2028,"$184,510",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Improve traffic signals and safety lighting at intersections.,"4,074 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,,"Kimley-Horn & Associates, Inc.","801 Cherry Street, Suite 1300, Fort Worth, Texas 76102",(817) 335-6511,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017574
Citizen House Canyon Ranch,TABS2026017537,Citizen House Canyon Ranch,"2950 FM 2181, Corinth, TX 76210",Denton,4/15/2026,7/1/2028,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","Club building with interconnected leasing, co-work and fitness facilities at 7,337 square feet. (1) pool courtyard.","7,337 ft 2",Endeavor Real Estate Group,"500 W. 5th Street, Suite 700, Austin, Texas 78701",(512) 225-2833,,Steinberg Dickey Collaborative LLP,"8100 Washington, Suite 250, Houston, Texas 77007",(713) 552-1777,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017537
"DIAMOND, GOLD AND SILVER TRADE GROUP",TABS2026017461,UV 380HOLLYHOCK LLC,"16750 HOLLYHOCK RD #250, Frisco, TX 75033",Denton,5/4/2026,9/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR JEWERLY EXCHANGE,"1,242 ft 2",UV 380HOLLYHOCK LLC,"2938 W ROYAL LN #APT. 2147, IRVING, Texas 75063",(214) 335-3268,DAYAN NISSANOV,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017461
Intellirent T.I. Phase 1,TABS2026017455,Champion Crossing,"3532 TX 114, Fort Worth, TX 76177",Denton,4/30/2026,7/1/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Phase 1 of construction to provide partial office, production area, and warehouse improvements to shell building. ","42,270 ft 2",Champions Circle Property Owners LP,"600 Las Colinas Blvd E Ste 2100, Irving, Texas 75039",(972) 444-2177,,Meinhardt & Associates Architects P.L.L.C.,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017455
