project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
"Wingstop - Lantana, TX (GL#AB245)",TABS2024010186,"Wingstop - Lantana, TX (GL#AB245)","3701 FM 407, Suite #200, Bartonville, TX 76226",Denton,4/1/2024,6/3/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing tenant space, work to include but not limited to new fixtures, finishes, equipment and Mechanical, electrical and plumbing work. ","1,400 ft 2",NewQuest Properties,"8827 W Sam Houston Pkwy N, Suite 200, Houston, Texas 77433",(281) 477-4371,Nick Lalani,Wilkus Architects,"15 Ninth Avenue North, Hopkins, Minnesota 55343",(952) 843-7051,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010186
Hwy 377 & Stella,TABS2024010127,Starbucks,"215 Stella St., Argyle, TX 76226",Denton,9/1/2024,12/2/2024,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","NEW PARTITION, TOILET FIXTURES, EQUIPMENT, FINISHES.","1,250 ft 2",Haydn Cutler Company,"3825 Camp Bowie, Fort Worth, Texas 76107",(817) 336-2425,Andrea Reilly,DESIGN FORUM ARCHITECTS,"2056 BYERS RD, MIAMISBURG, Ohio 45342",844.844.7700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010127
Shops at Highland Village,TABS2024010122,Highland Village Retail,"1701 Shoal Creek, Highland Village, TX 75077",Denton,11/3/2023,2/23/2024,"$1,071,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",ADA parking spaces and sidewalk adjacent to parking lot. ,"30,000 ft 2","MP Shops at Highland Village, LLC","1770 Kirby Parkway, Suite 215, Memphis, Tennessee 38138",(904) 316-9290,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010122
Stonebriar Centre Suite #2070 landlord shell work,TABS2024010109,Stonebriar Centre,"2601 Preston Rd., Frisco, TX 75034",Denton,2/29/2024,10/31/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Shell work only,"34,678 ft 2",Brookfield Properties,"2601 Preston Rd., Frisco, Texas 75034",469.920.2186,,Town Square Architecture,"1210 Verdun Ln, Friendswood, Texas 77546",(979) 505-0393,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010109
"MCD HEBRON PKWY - CARROLLTON, TX",TABS2024010101,"MCD HEBRON PKWY - CARROLLTON, TX","1536 W HEBRON PKWY, Carrollton, TX 75010",Denton,4/22/2024,9/25/2024,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New Ground-Up McDonald's,"3,850 ft 2","MCDONALD'S USA, LLC","110 N. CARPENTER STREET, CHICAGO, Illinois 60607",(254) 205-0418,,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD SUITE 200, FORT WORTH, Texas 76116",(817) 705-3387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010101
DRAGON HOUSE,TABS2024010091,The Shops at Highland Village,"4050 Barton Creek  #100, Highland Village, TX 75077",Denton,2/12/2024,7/31/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","ARCHITECTURE, MECHANICAL, ELECTRIC, PLUMBING","5,200 ft 2",Ravi Wadhwa,"1701 Shoal Creek #245, Highland Village, Texas 75077",972-317-7550,JIN WOOK CHOI,"LCD DESIGN & BUILD, INC","11848 HARRISBURG DR., FRISCO, Texas 75035",(972) 342-3818,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010091
Jamba / Auntie Anne's -Little Elm TX,TABS2024010077,Jamba/ Auntie Anne's,"2750 Little Elm Parkway Suite E, Little Elm, TX 75068",Denton,4/25/2024,9/16/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out ,"1,551 ft 2",Lin Zhang,"13098 Caterpillar Dr. STE 105, Frisco, Texas 75035",(870) 275-0696,Mia Li -Linrfa Fresh LLC,ID Studio 4,"6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010077
Golden Chick Little Elm,TABS2024010051,Golden Chick Little Elm,"995 E. Eldorado Pkwy, Little Elm, TX 75068",Denton,3/4/2024,11/4/2024,"$700,000",New Construction,"This project is privately funded, on private land for private use.",new restaurant,"1,500 ft 2",Mannat Food Inc.,"1303 N. Glenville Dr, Richardson, Texas 75081",(214) 675-9175,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010051
Apartment Complex,TABS2024009999,Apartment Complex,"4050 Texas - 121, Carrollton, TX 75010",Denton,3/1/2024,7/1/2025,"$10,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Shell and Interior Finish Out,"89,523 ft 2",Mary Rufus,"4317 Robbins Dr., Carrollton, Texas 75010",(214) 597-8510,,"FK + Architect, LLC","400 Chisholm Place, Suite 300, Carrollton, Texas 75075",(972) 424-1325,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024009999
365 STORAGE - DENTON,TABS2024009979,365 STORAGE - DENTON,"NEC COUNTRY CLUB RD & HOBSON LN, Denton, TX 76205",Denton,5/1/2024,5/1/2025,"$8,500,000",New Construction,"This project is privately funded, on private land for private use.",NEW FOUR-STORY INTERNALIZED COMMUNITY SELF-STORAGE FACILITY,"135,034 ft 2","VALK PROPERTIES Vl, LLC","1450 Tl. townsend dr. #100, rockwall, Texas 75032",(972) 722-2590,,RKAA Architects,"2233 E THOMAS RD, PHOENIX, Arizona 85016",(602) 955-3900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024009979
OZIER ORTHODONTICS,TABS2024009952,OZIER ORTHODONTICS,"5225 INDEPENDENCE  PARKWAY, SUITE 200, Frisco, TX 75036",Denton,2/15/2024,8/1/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR A DENTAL OFFICE,"2,276 ft 2",Dennis Goldsberry,"5225 INDEPENDENCE  PARKWAY, FRISCO, Texas 75036",(972) 951-9221,Dr. Mark Ozier,"R.T. CHANG ARCHITECTS, INC","5834 WINDMIER LANE, DALLAS, Texas 75252",(214) 663-4735,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024009952
Phase 13 Street Reconstruction,TABS2024009887,Phase 13 Street Reconstruction,"Gates Drive, The Colony, TX 75056",Denton,3/31/2024,3/31/2025,"$261,536",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Reconstruction of Gates Drive from Paige Road to Baker - Reconstruction of Pemberton Lane from Mayes to Blair Oaks - Reconstruction of Mayes Drive from Pemberton to Strickland,"221,720 ft 2",City of the Colony,"6800 Main Street, The Colony, Texas 75056",(972) 624-3148,,Halff,"3803 Parkwood Blvd Suite 800, Frisco, Texas 75034",(214) 937-3936,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024009887
Bill Allen Memorial Park,TABS2024009847,N/A,"5900 Carroll Drive, The Colony, TX 75056",Denton,2/28/2024,10/1/2024,"$580,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Existing half basketball court to be removed and new playground and berm play installed. Approximately 20,000 sf.","20,000 ft 2",The City of The Colony,"5151 N Colony Blvd., The Colony, Texas 75056",972-624-3956,,Kimley-Horn,"6160 Warren Drive, Suite 210, Frisco, Texas 75034",972-731-3807,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024009847
