project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
GOLFVIEW VILLAGE,TABS2026016148,GOLFVIEW VILLAGE,"TBD by City of Fort Worth at Permit, Fort Worth, TX 76120",Tarrant,11/1/2026,11/1/2028,"$35,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","198 Unit Multi-Family new construction build, with Leasing and Clubhouse / exterior amenity pools","187,271 ft 2",Pleasant Land Holdings LLC,"8222 Douglas Avenue Suite 900, Dallas, Texas 75225",214-505-9994,Bob Panizo,Humphreys,"6111 W. Plano Parkway Suite 1800, Dallas, Texas 75093",972-701-9636,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016148
Trinity Vista Dermatology Tenant Finish-out,TABS2026016133,Neill Building,"4421 Oak Park Lane, Suite 101, Fort Worth, TX 76109",Tarrant,4/14/2026,8/12/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel. light demo.  some interior partition construction.  add a few sinks.  Finish upgrade,"2,747 ft 2",Neill Family LP,"7417 Wind Chime Dr, Fort Worth, Texas 76133",(817) 714-5198,Allison Readinger,Darin Norman Architecture,"2013 Thomas Place, Fort Worth, Texas 76107",817-789-5513,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016133
Cook Children's 5 North Main Tower Renovation,TABS2026016119,Cook Children's Medical Center,"801 7th Avenue, Fort Worth, TX 76104",Tarrant,4/13/2026,10/23/2026,"$5,088,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","General refresh of materials in the unit (13,300 SF), including flooring, doors, casework, general paint and plumbing fixture updates. Headwalls are also being updated.","13,300 ft 2",Cook Children's Medical Center,"801 7th Avenue, Fort Worth, Texas 76104",(682) 885-4021,,HKS Inc.,"1227 Magnolia Ave Suite 200, Fort Worth, Texas 76104",(817)231-7166,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016119
STT Southlake Lobby Renovation,TABS2026016115,Spine Team Texas Southlake,"1545 E Southlake Blvd Suite 100, Southlake, TX 76092",Tarrant,4/13/2026,6/22/2026,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THIS IS PROJECT IS A RENOVATION OF APPROXIMATELY 2,500 SQFT OF EXISTING RECEPTION, CLINIC, OFFICE, AND EXERCISE SPACE AT SPINE TEAM SOUTHLAKE. RENOVATION IS INTERIOR ONLY WITH NO IMPACT TO BUILDING SQUARE FOOTAGE OR OCCUPANCY.","2,500 ft 2","1545 MP WRK7, LLC","800 West Madison, Suite 400, Chicago, Illinois 60607",(469) 849-3048,Kami Frese,GUIDE Architecture,"1108 Quaker St. Suite 130, Dallas, Texas 75207",(214) 960-9773,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016115
Champion Homes Conference Room,TABS2026016112,Champion Homes,"606 S 2nd Ave, Mansfield, TX 76063",Tarrant,4/20/2026,5/15/2026,"$300,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Conference Room Addition,311 ft 2,Champion Homebuilders Inc,"755 W Big Beaver Rd St. 1000, Troy, Michigan 48084",(248) 614-8200,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016112
"Costco Wholesale #668 Arlington, TX Restroom Remodel",TABS2026016108,Costco Wholesale,"600 W Arbrook Blvd, Arlington, TX, Arlington, TX 76014",Tarrant,6/6/2026,7/17/2026,"$315,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","961s.f. interior tenant improvement of member, tire center and receiving restrooms. Replacement of fixtures, finishes, and equipment, mechanical, electrical, plumbing work",961 ft 2,Costco Wholesale,"730 Lake Drive, Issaquah, Washington 98027",425-313-8100,,MG2 Architecture Corporation,"1101 2nd Ave, Suite 100, Seattle, WA, Seattle, Washington 98101",(206) 962-6617,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016108
PCS TI,TABS2026016085,A20 Logistics Center,"4601 Dr. MLK Jr. Drive, Arlington, TX 76018",Tarrant,4/15/2026,6/12/2026,"$315,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Alteration to an existing Spec Suite office.  Addition of (2) large bathrooms, (4) offices, IT room, and Conference room.","160,231 ft 2",Provident Industrial,"10210 North Central Expressway Suite 300, Dallas, Texas 75231",(559) 977-4186,Michael Gambino,LGE DesignBuild,"1280 E. Levee St, Dallas, Texas 75207",(817) 480-9860,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016085
REVKO DAIOHS TENANT BUILD,TABS2026016077,REVKO DAIOHS TENANT BUILD,"12240 TRINITY BLVD, Fort Worth, TX 76155",Tarrant,5/1/2026,8/31/2026,"$200,000",New Construction,"This project is privately funded, on private land for private use.",OFFICE BUILDOUT WITHIN PREVIOUSLY  PERMITTED SHOP SPACE,"2,700 ft 2","DAIOHS FIRST CHOICE COFFEE SERVICES, INC","17220 22ND STREET SUITE 450, OAKBROOK, Illinois 60181",(248) 321-1029,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016077
Back Nine Southlake,TABS2026016075,Back Nine Southlake,"500 West Southlake Blvd., Southlake, TX 76092",Tarrant,4/1/2026,8/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finishes,"2,300 ft 2",CH Retail Fund II/Southlake Oaks LP,"3819 Maple Ave., Dallas, Texas 75219",(214) 661-8164,Reagan Bluth,Thetford Architecture,"5324 Dilly Shaw Tap Road, Bryan, Texas 77808",(979) 587-6483,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016075
THHEB Nuclear Medicine Room 3 Renovation,TABS2026016071,Texas Health Harris Methodist Hospital HEB,"1600 Hospital Parkway, Bedford, TX 76022",Tarrant,7/2/2026,12/31/2028,"$940,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","900 sqft replacement of medical equipment within the existing NUC Med Room and minor renovations to the room, hot lab, staff work areas and new finishes though out the building",900 ft 2,Hurst Euless Bedford Hospital,"611 Ryan Plaza Drive Suite 660, Arlington, Texas 76011",(972) 768-6120,,"Perkins Will, Inc.","2218 Bryan Street, Suite 200 Suite 200, Dallas, Texas 75201",(214) 282-8700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016071
